,objectId,ra,dec,score
0,ZTF22abyiisu,348.67648419999995,21.0919718,0.9817505090320506
1,ZTF22abyivor,48.9824316,-18.085117800000003,0.9692307917015355
2,ZTF22abyhxlj,17.5079468,-14.612357500000002,0.9286355951885783
3,ZTF22abxweov,345.55006360000004,15.7711014,0.7474054504837021
4,ZTF22abxniov,19.475012600000003,17.5679274,0.6833316980882854
5,ZTF22abylkdj,356.9490507,8.2657629,0.6812266084056144
6,ZTF22abyhucf,336.6127537,-15.8497985,0.6557311443210639
7,ZTF22abyhxkq,25.431843399999998,-14.6335652,0.5878747566082628
8,ZTF22abvyljf,325.06688660000003,-9.4313536,0.49783201164659596
9,ZTF22abxcppe,322.7254517,-3.7081052000000003,0.4458320382933923
10,ZTF22abyjdnp,57.694512100000004,-12.1120825,0.36831428766231866
11,ZTF22abyrlaw,18.808374899999997,6.821463400000001,0.2605510910771148
12,ZTF22abvcnnl,26.218260700000002,23.012187100000002,0.24657669716193317
13,ZTF22abwvnzf,21.236999800000003,0.1619162,0.14515405456278527
14,ZTF22abwvcyz,354.6496853,3.3548345,0.13140288624068486
15,ZTF22abvnonf,0.43915740000000003,8.443476800000001,0.08433873824675447
16,ZTF22abvngdr,345.97565380000003,15.772198300000001,0.06941548835928249
17,ZTF22abvcigm,20.631481899999997,5.2786610000000005,0.0610432467450897
18,ZTF22abvebdc,28.739869300000002,18.361470699999998,0.049074630260077676
19,ZTF22abubrek,351.7900581,-0.06549830000000001,0.04807501074395172
20,ZTF22abwktis,351.46754080000005,-21.943914399999997,0.03388662884904377
21,ZTF22abuqitl,35.7536828,-9.197034599999999,0.03136514345625175
22,ZTF22abxdoux,36.265372799999994,-16.7413747,0.026945434996537596
23,ZTF22abuphjz,8.6541688,-12.4321226,0.022472425125818023
