-18.00 -90.00
-10.00 -104.26
0.00 -104.46
10.00 -104.46
20.00 -105.07
30.00 -106.18
40.00 -107.97
50.00 -110.72
60.00 -114.98
70.00 -121.73
80.00 -132.40
90.00 -148.02
100.00 -166.83
110.00 -184.53
120.00 -198.47
130.00 -208.56
140.00 -215.60
150.00 -220.38
160.00 -223.46
170.00 -225.18
180.00 -225.74
190.00 -225.19
205.00 -182.00
210.00 -180.00
220.00 -174.00
225.00 -170.00
229.00 -165.00
237.00 -155.00
240.00 -151.25
240.00 -130.00
230.00 -115.00
220.00 -111.00
210.00 -110.50
200.00 -110.00
198.00 -90.00
-18.00 -90.00
